id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6mnjcTmK8TewHfyOp3fC9C,0.7,0.215,128.001,0.046,0.00498,0.000125,4,0.711,1,211920,-4.805,0.801,0
5x9VIW2fS21JMswOt6AORI,0.781,0.155,102.078,0.121,0.0353,0.0,4,0.713,1,175333,-4.859,0.8,1
7Gkphzdh5ouurEt7JT49Yu,0.788,0.0966,80.047,0.0495,0.00905,0.000167,4,0.548,7,231733,-4.115,0.576,0
7y2YUIyCuVhBidENVT0068,0.631,0.127,189.583,0.0541,0.281,0.0,4,0.258,5,252539,-6.617,0.266,0
32OlwWuMpZ6b0aN2RZOeMS,0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4,0.856,0,269667,-7.223,0.928,1
5XzmZjXhMjDHr7ZfJ6DELQ,0.268,0.12,205.903,0.0442,0.868,0.0,4,0.579,2,188238,-5.65,0.321,1
5eWgDlp3k6Tb5RD8690s6I,0.783,0.086,120.042,0.0337,0.0553,0.0,4,0.744,1,235493,-7.077,0.885,1
7dS5EaCoMnN7DzlpT6aRn2,0.664,0.116,128.945,0.0464,0.634,0.0,4,0.566,4,241688,-5.303,0.437,0
4WGyY671Z37inSpCTBJoIm,0.372,0.0954,119.946,0.0314,0.417,0.0,3,0.66,2,252227,-6.025,0.432,0
34gCuhDGsG4bRPIf9bb02f,0.445,0.184,78.998,0.0295,0.474,0.0,4,0.781,2,281560,-6.061,0.591,1
2bJvI42r8EF3wxjOuDav4r,0.802,0.694,124.043,0.0582,0.0921,0.0,4,0.72,1,229360,-5.797,0.723,1
6N9ZOtguCnnrvwH7zD82WJ,0.827,0.065,145.889,0.0734,0.000704,0.00534,4,0.657,5,190186,-4.036,0.69,1
4fTHdMTq0Znl3djLI1Typn,0.576,0.0656,118.04,0.0372,0.184,0.029,4,0.827,4,180021,-7.774,0.41,1
2sNvitW3TxiTeC9xT9f2ZZ,0.652,0.077,113.055,0.052,0.408,6.63e-05,4,0.486,11,273684,-7.226,0.391,0
6kwAbEjseqBob48jCus7Sz,0.791,0.146,130.075,0.0496,0.0117,1.48e-05,4,0.421,9,257200,-4.998,0.499,1
7MmG8p0F9N3C4AXdK6o6Eb,0.823,0.322,128.035,0.0394,0.213,0.0,4,0.646,2,227267,-4.123,0.418,0
2OlWBmSjf1aUPGLNf0UI5A,0.593,0.096,125.026,0.0323,0.093,1.65e-06,4,0.628,8,197267,-5.036,0.104,1
4iZPNYqzI2L0uwuUKun7Aa,0.662,0.152,99.879,0.174,0.155,0.0,4,0.679,8,222801,-6.069,0.438,0
7FC9Lng8iXU081lbigu8m8,0.798,0.0627,149.109,0.0489,0.0137,0.0,4,0.49,6,198733,-3.66,0.479,1
7ioiB40H9xKs04QtIso2I3,0.52,0.0656,104.99,0.0376,0.000792,1.25e-05,4,0.83,0,189907,-8.714,0.735,1
